fecha,_NAME_,logPM10LLEE,PM10LLEE,logHHRRMQHE,HHRRMQHE,logPPAAMQHE,PPAAMQHE,logPPPPMQHE,PPPPMQHE,logTTTTMQHE,TTTTMQHE,logVVVVMQHE,VVVVMQHE,logPM10PLCI,PM10PLCI,logHR2MPLCI,HR2MPLCI,logTT2MPLCI,TT2MPLCI,logVV10PLCI,VV10PLCI,logHR2MLLEE,HR2MLLEE,logPA2MLLEE,PA2MLLEE,logRG2MLLEE,RG2MLLEE,logTT2MLLEE,TT2MLLEE,logVV10LLEE,VV10LLEE,logNNO2LLEE,NNO2LLEE,logNNOXLLEE,NNOXLLEE,logCCOOLLEE,CCOOLLEE,logOO33LLEE,OO33LLEE,logPP2MLLEE,PP2MLLEE,logHRSILLEE,HRSILLEE,logPASILLEE,PASILLEE,logRGSILLEE,RGSILLEE,logSSO2LLEE,SSO2LLEE,logVVSILLEE,VVSILLEE,logPPSILLEE,PPSILLEE,logPM25LLEE,PM25LLEE,logPM10MMFF,PM10MMFF,logPM25MMFF,PM25MMFF,logRG2MMMFF,RG2MMMFF,logRGSIMMFF,RGSIMMFF,logHR2MMMFF,HR2MMMFF,logHRSIMMFF,HRSIMMFF,logTT2MMMFF,TT2MMMFF,logTTSIMMFF,TTSIMMFF,logPASIMMFF,PASIMMFF,logVV10MMFF,VV10MMFF,logVVSIMMFF,VVSIMMFF,logPP2MMMFF,PP2MMMFF,logPPSIMMFF,PPSIMMFF,logHR2MPCII,HR2MPCII,logPA2MPCII,PA2MPCII,logPM10PCII,PM10PCII,logPM25PCII,PM25PCII,logPP2MPCII,PP2MPCII,logRG2MPCII,RG2MPCII,logTT2MPCII,TT2MPCII,logVV10PCII,VV10PCII,logCCOOPCII,CCOOPCII,logNNO2PCII,NNO2PCII,logNNOXPCII,NNOXPCII,logNNOOPCII,NNOOPCII,logHR3MLLEE,HR3MLLE,logPA3MLLEE,PA3MLLEE,logRG3MLLEE,RG3MLLEE,logTT10LLEE,TT10LLEE,logHR3MMMFF,HR3MMMFF,logPA3MMMFF,PA3MMMFF,logRG3MMMFF,RG3MMMFF,logTT10MMFF,TT10MMFF,logHR3MPCII,HR3MPCII,logPA3MPCII,PA3MPCII,logRG3MPCII,RG3MPCII,logTT10PCII,TT10PCII,year,month,day,weekday,feriado,season
01jan2009,COL1,3.895300629283758,49.17083333333334,4.034240638152395,56.5,,,,0,2.862200880929469,17.5,2.639057329615258,14,3.773718334050966,43.54166666666666,4.106767082220657,60.75,2.848295118613538,17.25833333333334,1.276293465905562,3.583333333333334,4.103002624965216,60.52173913043478,6.909232448299703,1001.478260869565,5.998828669623117,402.9565217391304,2.838824172343862,17.09565217391305,.8016278235540152,2.229166666666667,-.1974351946040028,.8208333333333333,-.1823215567939548,.8333333333333332,-1.420195912795572,.2416666666666667,-1.420195912795572,.2416666666666667,,0,,,,,,,,,,,,,2.621947502048798,13.7625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,1,1,Thrusday,1,Summer
02jan2009,COL1,3.677987012947513,39.56666666666667,4.237000862623624,69.2,6.914730892718563,1007,,0,2.747270914255491,15.6,2.397895272798371,11,3.440418094815437,31.2,4.120391271160202,61.58333333333334,2.8248450943857,16.85833333333333,1.101386215550835,3.008333333333333,4.139678103523622,62.78260869565217,6.912786081508519,1005.04347826087,6.010307634909462,407.6086956521739,2.816189461166987,16.71304347826087,.8274595181675389,2.287499999999999,.435563139265444,1.545833333333334,.7576857016975167,2.133333333333334,-1.337504196950459,.2625,-1.337504196950459,.2625,,0,,,,,,,,,,,,,2.529720665577793,12.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,1,2,Friday,0,Summer
03jan2009,COL1,3.605950641198016,36.81666666666667,4.097672352314776,60.2,6.91045164052988,1002.7,,0,2.862200880929469,17.5,2.397895272798371,11,3.458155158091814,31.75833333333333,4.129148484416793,62.125,2.903479913848904,18.2375,1.256328034659864,3.5125,4.132728805230416,62.34782608695652,6.908806899748179,1001.052173913044,6.018698995424032,411.0434782608696,2.896392245677748,18.10869565217391,.8034952377288105,2.233333333333333,.1433785828453471,1.154166666666667,.4026834651462877,1.495833333333334,-1.38629436111989,.2500000000000001,-1.38629436111989,.2500000000000001,,0,,,,,,,,,,,,,2.469510964310027,11.81666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,1,3,Saturday,0,Summer
04jan2009,COL1,3.214030773205001,24.87916666666667,4.346399457030731,77.2,6.912643313054913,1004.9,,0,2.778819271990417,16.1,2.639057329615258,14,3.129133449367339,22.85416666666667,4.289317236569614,72.91666666666667,2.810155424039364,16.6125,1.295868069030192,3.654166666666666,4.304652464733539,74.04347826086956,6.910403942088092,1002.652173913044,5.922859799049151,373.4782608695652,2.790364574080838,16.28695652173913,.8274595181675394,2.2875,-.2876820724517811,.7499999999999999,-.0601039240697053,.9416666666666668,-1.386294361119891,.25,-1.386294361119891,.25,,0,,,,,,,,,,,,,2.227771743915376,9.279166666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,1,4,Sunday,0,Summer
05jan2009,COL1,2.745131876006742,15.56666666666667,4.384523514872469,80.2,6.913836749298005,1006.1,-.2231435513142097,.8,2.844909383819407,17.2,2.484906649788,12,2.683871345405051,14.64166666666667,4.341096127321878,76.79166666666667,2.842726771094089,17.1625,1.138100060175228,3.120833333333334,4.36226748469342,78.43478260869566,6.911790604354745,1004.04347826087,5.384495062789089,218,2.827313621929028,16.9,.7478720802491916,2.112499999999999,.5452270504833229,1.725,1.091643619352017,2.979166666666667,-1.32175583998232,.2666666666666667,-1.32175583998232,.2666666666666667,-1.897119984885881,.15,4.303794786404308,73.98,6.911415239813624,1003.666666666667,5.739667859701692,310.9611111111111,,,.8786188630863855,2.407572222222222,,,2.336181042422561,10.34166666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,1,5,Monday,0,Summer
06jan2009,COL1,3.187213144359359,24.22083333333333,4.197201947661808,66.5,6.914830192654099,1007.1,,0,2.740840023925201,15.5,2.19722457733622,9,3.026301891609895,20.62083333333333,4.204070535389567,66.95833333333333,2.791165107812717,16.3,.9886113934537812,2.6875,4.223973422326472,68.30434782608695,6.912742820493176,1005,5.756154896720907,316.1304347826087,2.77340360752187,16.01304347826087,.6847789308894288,1.983333333333333,.709676482511156,2.033333333333334,1.097222434379056,2.995833333333334,-1.232143681292632,.2916666666666667,-1.232143681292632,.2916666666666667,,0,4.137217784868103,62.62833333333333,6.912466386490034,1004.722222222222,6.007443314072668,406.4428440555556,,,.9089169455442094,2.481633333333333,,,2.130213867053259,8.416666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,1,6,Tuesday,0,Summer
07jan2009,COL1,3.442019376182411,31.25,4.110873864173311,61,6.914830192654099,1007.1,,0,2.721295427852231,15.2,2.564949357461537,13,3.401891585091631,30.02083333333334,4.131158535344817,62.25,2.780629227235657,16.12916666666666,1.188859166515888,3.283333333333333,4.150012332593636,63.43478260869565,6.913132102273217,1005.391304347826,6.013183495654927,408.7826086956522,2.766592520027615,15.90434782608696,.7458977459454743,2.108333333333333,.7359671777428735,2.0875,1.183770097008417,3.266666666666667,-1.232143681292632,.2916666666666667,-1.232143681292632,.2916666666666667,,0,4.059820211283229,57.9638888888889,6.91224518425499,1004.5,6.198924642346181,492.2194444444444,,,.9842338673958647,2.675761111111112,,,2.478287569708119,11.92083333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,1,7,Wednesday,0,Summer
08jan2009,COL1,3.503428004311054,33.22916666666666,4.146304301152812,63.2,6.913836749298005,1006.1,,0,2.681021528714291,14.6,2.564949357461537,13,3.498273677732284,33.05833333333333,4.191546890178463,66.125,2.767104963883525,15.9125,1.18121581720332,3.258333333333333,4.209224838220523,67.30434782608695,6.912310107375217,1004.565217391304,6.012970752328946,408.6956521739131,2.751997740795854,15.67391304347826,.7674039511664379,2.154166666666667,.6889718091494648,1.991666666666667,1.064710736992428,2.9,-1.203972804325936,.3,-1.203972804325936,.3,,0,4.122770036405805,61.72999999999999,6.91152593887833,1003.777777777778,6.164179926784041,475.4111111111111,,,.9545793868645229,2.597577777777778,,,2.70359585075283,14.93333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,1,8,Thrusday,0,Summer
09jan2009,COL1,3.419067066567788,30.54090909090909,4.23410650459726,69,6.913538523737865,1005.8,,0,2.778819271990417,16.1,2.564949357461537,13,3.411461980274038,30.30952380952381,4.236519051002643,69.16666666666667,2.762117422372486,15.83333333333333,1.198960262502391,3.316666666666666,4.249793100764959,70.09090909090909,6.912064164206525,1004.318181818182,5.928742556896808,375.6818181818182,2.749017639590433,15.62727272727273,.7705107171734335,2.160869565217392,,,,,-1.147619867774804,.317391304347826,-1.147619867774804,.317391304347826,,0,4.140954220303636,62.86277777777777,6.911747300251674,1004,6.179626998726937,482.8118333333333,,,.8426728959942793,2.322566666666667,,,2.632201584470704,13.90434782608696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,1,9,Friday,0,Summer
10jan2009,COL1,3.472742548825251,32.225,4.222444564849416,68.2,6.914929482730138,1007.2,,0,2.797281334830153,16.4,2.564949357461537,13,3.269727355025634,26.30416666666667,4.228656899829694,68.625,2.851188081094066,17.30833333333333,1.211444819164637,3.358333333333334,4.239134799289795,69.34782608695652,6.913305067767032,1005.565217391304,5.926694115023174,374.9130434782609,2.838060910635264,17.08260869565217,.8875482630085011,2.429166666666667,,,,,-1.529395204760564,.2166666666666667,-1.529395204760564,.2166666666666667,,0,,,,,,,,,,,,,2.597428958473447,13.42916666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,1,10,Saturday,0,Summer
